"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_phd","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Religiousness","Feedback","Target"
"529","6/27/2014 10:44","6/27/2014 10:48","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,7,5,5,6,5,6,6,5,3,2,5,6,5,6,6,3,3,"187","36","74","2","38",NA,"Scientists"
"532","6/27/2014 10:51","6/27/2014 10:55","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",4,7,4,4,7,6,5,6,7,6,5,5,5,7,6,6,5,3,"187","60","88","2","43",NA,"Educated"
"535","6/27/2014 10:52","6/27/2014 11:08","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,3,3,7,5,6,5,4,4,2,7,4,5,3,5,2,2,2,"187","41","71","2","41",NA,"Scientists"
"536","6/27/2014 10:58","6/27/2014 11:10","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,5,2,5,6,7,6,7,5,6,2,6,6,7,7,2,2,2,"187","38","81","2","43",NA,"Educated"
"544","6/27/2014 11:24","6/27/2014 11:29","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,6,2,6,5,6,7,6,6,3,4,4,6,4,6,5,6,5,"187","47","77","1","43",NA,"Educated"
"545","6/27/2014 11:28","6/27/2014 11:31","1","Scientists",NA,"Scientists_Scientists","1",NA,"2",NA,2,2,2,5,2,6,3,2,2,2,6,6,6,2,2,2,2,2,"187","44","96","1","43",NA,"Scientists"
"552","6/27/2014 11:41","6/27/2014 11:44","1","Scientists",NA,"Scientists_Scientists","1",NA,"2",NA,5,5,4,6,6,6,5,6,6,5,5,5,6,6,6,6,4,4,"187","67","96","1","38",NA,"Scientists"
"555","6/27/2014 11:44","6/27/2014 11:48","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,5,3,5,5,6,5,6,5,6,5,4,4,4,5,4,4,3,"187","57","84","2","39",NA,"Educated"
"558","6/27/2014 11:55","6/27/2014 11:57","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,3,5,5,6,5,6,3,3,5,4,6,6,6,6,5,5,"187","53","83","1","43",NA,"Scientists"
"565","6/27/2014 12:09","6/27/2014 12:14","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,5,5,5,6,5,5,6,5,5,5,6,5,5,5,4,3,"187","30","59","1","43",NA,"Scientists"
"566","6/27/2014 12:10","6/27/2014 12:15","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",3,3,1,6,5,6,2,5,5,2,1,3,6,5,6,5,6,2,"187","44","76","1","44",NA,"Scientists"
"573","6/27/2014 12:25","6/27/2014 12:29","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,3,3,5,6,5,4,6,6,4,6,4,5,3,3,3,5,3,"187","53","82","1","38",NA,"Educated"
"574","6/27/2014 12:24","6/27/2014 12:29","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",4,5,4,5,5,5,5,5,5,4,5,4,5,5,5,4,4,5,"187","48","87","1","38",NA,"Scientists"
"575","6/27/2014 12:25","6/27/2014 12:30","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",7,7,4,7,6,7,7,7,7,2,5,2,7,7,7,7,NA,2,"187","55","85","1","38",NA,"Scientists"
"578","6/27/2014 12:31","6/27/2014 12:35","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,3,3,5,5,5,3,5,3,3,3,3,5,3,3,5,5,2,"187","58","89","2","38",NA,"Educated"
"579","6/27/2014 12:36","6/27/2014 12:38","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,5,2,5,6,5,5,4,6,3,5,5,6,5,6,5,3,2,"187","40","66","1","38",NA,"Scientists"
"580","6/27/2014 12:33","6/27/2014 12:40","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,5,5,6,6,6,5,5,6,2,3,3,6,6,6,6,6,6,"187","45","73","1","39",NA,"Scientists"
"581","6/27/2014 12:31","6/27/2014 12:42","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,6,6,5,6,6,6,3,6,5,2,4,6,3,5,2,4,1,"187","49","80","1","39",NA,"Educated"
"587","6/27/2014 12:48","6/27/2014 12:52","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,5,2,7,5,7,3,6,6,1,6,5,6,2,4,5,6,2,"187","41","80","1","43",NA,"Scientists"
"593","6/27/2014 12:56","6/27/2014 12:59","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,3,2,6,3,6,3,3,4,6,2,5,4,4,4,3,2,1,"187","47","83","1","38",NA,"Educated"
"594","6/27/2014 12:57","6/27/2014 13:01","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",2,3,2,5,5,5,4,2,2,3,3,2,3,3,5,2,3,2,"187","36","69","1","39",NA,"Educated"
"595","6/27/2014 12:56","6/27/2014 13:02","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","6",5,5,5,6,5,6,5,6,5,4,4,4,5,4,6,4,4,3,"187","44","78","2","41",NA,"Scientists"
"596","6/27/2014 12:59","6/27/2014 13:04","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,4,4,6,6,5,4,6,6,3,3,3,6,6,7,3,4,2,"187","57","85","1","40",NA,"Scientists"
"599","6/27/2014 13:04","6/27/2014 13:08","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,5,5,5,5,6,6,6,5,5,5,4,6,5,5,6,4,4,"187","49","78","1","38",NA,"Educated"
"600","6/27/2014 13:01","6/27/2014 13:09","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",4,5,4,6,5,6,4,3,5,3,4,5,6,5,6,5,3,2,"187","38","74","2","43",NA,"Scientists"
"601","6/27/2014 13:06","6/27/2014 13:11","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,5,2,5,5,3,2,2,5,3,2,4,5,2,6,2,2,2,"187","32","68","1","42",NA,"Educated"
"602","6/27/2014 13:11","6/27/2014 13:14","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,5,7,7,6,6,6,6,3,3,4,7,6,7,5,5,3,"187","55","86","1","42",NA,"Scientists"
